date,raul_matched,statia_matched,diag_H_cm,diag_Q_m3_s,pct_CA_diag,Q_ratio_diag,risk_class
2025-12-25,arges,Malu Spart,"456,00","585,00","89,41","22,67",foarte ridicat
2023-12-27,arges,Malu Spart,"185,00","16,50","88,10","0,64",foarte ridicat
2023-11-26,arges,Malu Spart,"181,00","18,10","86,19","0,73",foarte ridicat
2023-09-08,arges,Malu Spart,"180,00","8,52","85,71","0,39",foarte ridicat
2026-02-26,vedea,Alexandria,"300,00","78,00","78,95","5,38",ridicat
2025-12-02,arges,Malu Spart,"390,00","433,00","76,47","16,78",ridicat
2025-12-01,arges,Malu Spart,"358,00","359,00","70,20","13,91",ridicat
2026-02-21,vedea,Alexandria,"258,00","56,50","67,89","3,90",ridicat
2026-02-27,vedea,Alexandria,"250,00","53,00","65,79","3,66",ridicat
2023-02-27,vedea,Alexandria,"192,00","69,30","64,00","4,15",ridicat
2026-02-25,vedea,Alexandria,"235,00","46,70","61,84","3,22",ridicat
2023-03-17,arges,Malu Spart,"128,00","54,70","60,95","1,55",ridicat
2023-04-19,arges,Malu Spart,"123,00","59,50","58,57","1,05",ridicat
2026-02-08,vedea,Alexandria,"222,00","41,20","58,42","2,84",ridicat
2023-02-27,arges,Malu Spart,"122,00","59,80","58,10","2,48",ridicat
